strike,call,put,call_settle,put_settle,vol,call_delta,put_delta,gamma,vega,theta,straddle,call_oi,put_oi,call_volume,put_volume,dens_call,dens_put,dens_total
96.3,0.05,6.43,0.1,5.83,85.24,0.04,-0.94,0.025,0.0035,-0.055,6.48,39,6,46,0,0.975,0.15,1.125
96.5,0.05,6.67,0.09,6.07,86.05,0.04,-0.94,0.022,0.00321,-0.049,6.72,12,2,2,0,0.264,0.044,0.308
96.8,0.04,6.91,0.08,6.31,86.63,0.03,-0.94,0.02,0.00291,-0.043,6.95,3,0,0,0,0.06,0,0.06
97.0,0.04,7.15,0.07,6.55,86.95,0.03,-1.0,0.018,0.00261,-0.037,7.19,19,4,15,3,0.342,0.072,0.41400000000000003
97.3,0.03,7.4,0.06,6.79,86.95,0.02,-1.0,0.016,0.0023,-0.031,7.43,10,1,13,1,0.16,0.016,0.176
97.5,0.03,7.65,0.06,7.04,89.46,0.02,-1.0,0.015,0.00227,-0.032,7.68,61,6,4,1,0.915,0.09,1.0050000000000001
97.8,0.03,7.9,0.05,7.28,89.0,0.02,-1.0,0.013,0.00195,-0.026,7.93,1,4,1,0,0.013,0.052,0.065
98.0,0.03,8.15,0.05,7.53,91.41,0.02,-1.0,0.013,0.00193,-0.026,8.18,53,3,52,1,0.689,0.039,0.728
98.3,0.02,8.4,0.04,7.77,90.35,0.02,-1.0,0.011,0.00161,-0.02,8.42,34,23,25,0,0.374,0.253,0.627
98.5,0.02,8.65,0.04,8.02,92.67,0.02,-1.0,0.01,0.00159,-0.021,8.67,14,14,1,0,0.14,0.14,0.28
98.8,0.02,8.9,0.04,8.27,94.97,0.02,-1.0,0.01,0.00157,-0.021,8.92,4,14,1,0,0.04,0.14,0.18000000000000002
99.0,0.01,9.15,0.03,8.51,93.0,0.01,-1.0,0.008,0.00124,-0.015,9.16,79,13,68,0,0.632,0.104,0.736
99.3,0.02,9.4,0.03,8.76,95.2,0.01,-1.0,0.008,0.00123,-0.015,9.42,21,6,31,2,0.168,0.048,0.21600000000000003
99.5,0.02,9.65,0.03,9.01,97.39,0.01,-1.0,0.007,0.00121,-0.015,9.67,23,19,4,0,0.161,0.133,0.29400000000000004
99.8,0.02,9.9,0.03,9.26,99.56,0.01,-1.0,0.007,0.0012,-0.015,9.92,2,5,1,0,0.014,0.035,0.049
100.0,0.02,10.15,0.03,9.51,101.72,0.01,-1.0,0.007,0.00119,-0.015,10.17,211,6,222,0,1.477,0.042,1.5190000000000001
100.3,0.01,10.4,0.02,9.75,98.09,0.01,-1.0,0.005,0.00085,-0.01,10.41,0,7,0,0,0,0.035,0.035
100.5,0.01,10.65,0.02,10.0,100.14,0.01,-1.0,0.005,0.00084,-0.01,10.66,5,4,0,0,0.025,0.02,0.045
100.8,0.01,10.9,0.02,10.25,102.18,0.01,-1.0,0.005,0.00083,-0.01,10.91,4,8,7,0,0.02,0.04,0.06
